instancia,algoritmo,run,seed,custo,custo_objetivo,n_veiculos,eh_valida,n_violacoes,clientes_faltando,frota_excedida,n_violacoes_jt,total_atraso_jt,tempo
pequena,ACO,0,42,56336.8,56336.8,3,1,0,0,0,0,0,0.12328577041625977
pequena,ACO,1,43,62674.3,62674.3,3,1,0,0,0,0,0,0.13619303703308105
pequena,ACO,2,44,56336.8,56336.8,3,1,0,0,0,0,0,0.11253213882446289
pequena,ACO,3,45,61799.8,61799.8,3,1,0,0,0,0,0,0.12093043327331543
pequena,ACO,4,46,65101.0,65101.0,3,1,0,0,0,0,0,0.16236352920532227
pequena,ACO,5,47,60688.0,60688.0,3,1,0,0,0,0,0,0.1380445957183838
pequena,ACO,6,48,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.14036822319030762
pequena,ACO,7,49,60330.600000000006,60330.600000000006,3,1,0,0,0,0,0,0.13758468627929688
pequena,ACO,8,50,65101.0,65101.0,3,1,0,0,0,0,0,0.1428380012512207
pequena,ACO,9,51,63213.200000000004,63213.200000000004,3,1,0,0,0,0,0,0.13509082794189453
pequena,ACO,10,52,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.13910174369812012
pequena,ACO,11,53,58864.7,58864.7,3,1,0,0,0,0,0,0.12435722351074219
pequena,ACO,12,54,56336.8,56336.8,3,1,0,0,0,0,0,0.11560559272766113
pequena,ACO,13,55,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.11542320251464844
pequena,ACO,14,56,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.11494684219360352
pequena,ACO,15,57,56336.8,56336.8,3,1,0,0,0,0,0,0.11318659782409668
pequena,ACO,16,58,56336.8,56336.8,3,1,0,0,0,0,0,0.11394572257995605
pequena,ACO,17,59,64337.40000000001,64337.40000000001,3,1,0,0,0,0,0,0.13043761253356934
pequena,ACO,18,60,56336.8,56336.8,3,1,0,0,0,0,0,0.13881826400756836
pequena,ACO,19,61,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.14098477363586426
